# LAr EM cells: |barrel-endcap|=1, sampling=1, eta_idx=0
# Source: C:\Users\chrys\Documents\GitHub\cgv-web\JiveXML_516761_840521342.xml
# Filtered: 60 cells
#
# barrel-endcap	region	eta_idx	global_eta	path_using_eta_idx	path_using_global_eta
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_82	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_82
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_84	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_84
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_95	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_95
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_98	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_98
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_107	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_107
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_109	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_109
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_125	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_125
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_138	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_138
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_147	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_147
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_148	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_148
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_180	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_180
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_181	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_181
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_185	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_185
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_188	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_188
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_194	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_194
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_215	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_215
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_216	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_216
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_217	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_217
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_230	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_230
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_247	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_247
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_250	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_250
1	1	448	448	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_253	Calorimeter→EMBarrel1p_0→EMBarrel1p448_448→cell_253
